issuekey,title,description,component,Altmetrics,Audio Solution Pack,BagIt,Basic Image Solution Pack,Batch,Batch Ingest Module 6.x (Deprecated),Book Batch,Book Solution Pack,Bookmark,Checksum,Checksum Checker,Collection Manager 6.x (Deprecated),Collection Solution Pack,Compound Object Solution Pack,Content Model Viewer 6.x (Deprecated),Disk Image Solution Pack,Documentation,Drupal Servlet Filter,Entities Solution Pack,FITS module,Fedora Microservices,Harvester Module 6.x (Deprecated),IP Embargo,Image Annotation Solution Pack,Importer,Internet Archive Bookreader,Islandora Image Viewer (Deprecated),Islandora Module (Core),JWPlayer,Large Image Solution Pack,MARCXML,Newspaper Batch,Newspaper Solution Pack,OAI Provider,OCR,Object Field (PID Field),Objective Forms,Ontology,OpenSeadragon,PDF Solution Pack,PDF.js,PHP Lib,PREMIS,Paged Content,Pathauto,Populator,Scholar Module,Scholar Module 6.x (Deprecated),Simple Workflow,Solr Facet Pages,Solr Metadata,Solr Search,Solr Views,Sync (Deprecated),Tuque API,Usage Stats,User Interface,Video Solution Pack,Video.js,Virtual machine,Web ARChive Solution Pack,XACML Editor,XACML Policies,XML Form Builder,XML Form Element: FieldPanel,XML Sitemap,citeproc-php
ISLANDORA-1,When a user is created we will create an object in Fedora to act as the users personal collection space.,As per the IR requirements when a user logs in they should see their personal collection.  To enable this we will create an object in Fedora everytime a user in Drupal is created (assuming if a user in Drupal is deleted we will keep the objects in Fedora???).   Using Drupal's hook_user we should be able to create the object in Fedora if Drupal is using LDAP or drupal based authentication.  We will have to create the collection using a user that is allowed to create collections so we will add an admin user text box to the admin interface.  This user will have to have the Drupal administrator role.  ,Scholar Module 6.x (Deprecated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-2,Create a script to install Islandora demo objects,Create a script to install some demo Objects.  These objects would include Collection Policies/Collection Views/Content Models etc. that Islandora module knows about.  This would be the first step in easing the install process of the islandora module (longer term it may be nice to have a installer script that installed Fedora/Drupal and the objects).  Currently a user has to install the module and then ingest and configure objects.  Adding the Collection Policy and Content Model objects/streams seems to be a sticking point for users after the module is installed.   ,Islandora Module (Core),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-3,Port to Drupal 6,Port the Islandora core code to Drupal 6.,Islandora Module (Core),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-4,update the Islandora drupal form api code to work with Drupal 6,update the Islandora drupal form api code to work with Drupal 6.  Drupal 6 has modified the Form API in non backwards compatible way.  Update Islandora code to work within Drupal 6,Islandora Module (Core),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-5,Update the Islandora drupal menu/path array's to work in Drupal 6,None,Islandora Module (Core),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-6,Clean up current code base (specifically IR stuff) and update Fedora Commons Islandora svn.  We will then use the Fedora Commons svn as the home for all Islandora code.,None,Islandora Module (Core),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-7,Ingesting Refworks item via the module breaks Refworks item format,"Ingesting a Refworks item through the Drupal module creates a differently-formatted Refworks record than batch ingest. It doesn't strip the XML prologue, where batch ingest does.  This breaks the item view as the Refworks section is ont showing up.",Scholar Module 6.x (Deprecated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-8,view and edit by role xacml policy template file does not lock down api-m,The vew and edit by role xacml policy template will limit who can see the object but does not limit who can modify it.  Need a section for api-m in the policy template file.,Islandora Module (Core),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-9,Apply rules when adding a datastream to an object.,"Modify the add datastream method to check for and execute methods specified in the content model.  For example, to generate a new TN datastream when a new PDF datastream is added to an object.  Similar behaviour to the ingest rules function, and using the same method and parameter XML specification format.  The thumbnail generation specification will look like this:          <datastream id=""OBJ"">             <allowed_mime_type>application/pdf</allowed_mime_type>             <add_datastream_method>                 <file>plugins/ImageManipulation.php</file>                 <class_name>ImageManipulation</class_name>                 <method_name>createThumbnailFromPDF</method_name>                 <modified_files_ext>jpg</modified_files_ext>                 <datastream_id>TN</datastream_id>                 <parameters>                     <parameter name=""width"">100</parameter>                     <parameter name=""height"">120</parameter>                 </parameters>             </add_datastream_method>         </datastream>  ",Islandora Module (Core),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLANDORA-10,Add file extension to the end of datastream labels.,"When ingesting an object or adding a datastream, the datastream label should contain the file exxtension that maps the mime type of the datastream, so that when the user downloads the file it will be named properly on their local file system.",Islandora Module (Core),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
